,strategy_cad,SPY_cad
2023-05-24,889742.0715483298,1079486.3411362232
2023-05-25,884368.1692001487,1088834.583061871
2023-05-26,888058.9989295098,1102935.7201185059
2023-05-29,888305.4511556707,1102935.7201185059
2023-05-30,884710.1975002286,1103355.8757275392
2023-05-31,883717.6762604453,1097237.53496956
2023-06-01,889871.5106232706,1107662.410617764
2023-06-02,896077.4987839916,1123680.492615022
2023-06-05,896334.3265094687,1121527.2251699094
2023-06-06,892099.7552879102,1123969.3045194575
2023-06-07,885372.1871516678,1120082.925238266
2023-06-08,894197.052017033,1126857.8242462561
2023-06-09,894680.8042289271,1128879.7479867712
2023-06-12,896431.9719805531,1139120.7905304315
2023-06-13,896060.5131962444,1146630.941820108
2023-06-14,897001.6757907235,1147996.3874471
2023-06-15,902957.0796772168,1162228.8682083325
2023-06-16,900375.2501850907,1153983.4646369696
2023-06-19,900375.2501850907,1153983.4646369696
2023-06-20,901548.9457049051,1147996.3874471
2023-06-21,902204.3465944992,1142114.3691936105
2023-06-22,911130.6680370816,1146237.070979292
2023-06-23,910426.1135791907,1137571.511798896
2023-06-26,905279.6859072798,1132923.6756042892
2023-06-27,912669.2272396766,1145344.2703612794
2023-06-28,910385.8474363872,1145921.974306639
2023-06-29,912353.392390356,1150438.466796648
2023-06-30,921111.6186091327,1164014.4694443576
2023-07-03,918734.2570263213,1165353.7104396208
2023-07-04,919796.5994136018,1165353.7104396208
2023-07-05,919618.4058527543,1163620.5986035415
2023-07-06,910044.6852978303,1154508.6791823835
2023-07-07,895925.7628397695,1151593.8746873676
2023-07-10,897546.3244535213,1154508.6791823835
2023-07-11,895480.3632720476,1161861.2019992452
2023-07-12,900480.9769246404,1171209.443924893
2023-07-13,912487.1818110943,1180505.1964505946
2023-07-14,917350.4079777368,1179769.9441689085
2023-07-17,910832.164093017,1183866.3611863726
2023-07-18,907826.8222421742,1192663.1839348779
2023-07-19,916273.2516268238,1195315.381157187
2023-07-20,916945.6001775737,1187385.074258477
2023-07-21,923019.6429174317,1187385.074258477
2023-07-24,921837.8541649987,1192689.468703095
2023-07-25,916404.7620737881,1195945.5745024926
2023-07-26,915460.9647771731,1196129.4076070364
2023-07-27,907166.3861819945,1188199.1007083263
2023-07-28,916875.8730961186,1199831.9537836844
2023-07-31,919448.4800347657,1202116.4847969061
